pid,delay,cfmt_raw,sex,age_year,participant_race,lineup,lineup_race,lineup_type,chooser,lineup_accuracy,lineup_decision,confidence,decision_time_sec,cross_race,expression,justification,cat,celebrity,kept,expression_spellcheck,justification_spellcheck,express_num,just_num,log_rt,mad_rt,statement
147,5Minute,37,Female,30,White,WC3.NP.LINE,White,TA,Yes,0,Foil,80,4.114,No,almost certain,because I'm almost certain,?,No,Yes,almost certain,because I'm almost certain,FALSE,FALSE,1.4143957912307654,-0.811133627,almost certain because I'm almost certain
147,5Minute,37,Female,30,White,WD1.P.LINE,White,TP,Yes,1,Target,100,1.782,No,100% certain,because I thought the guy was attractive,U1,No,Yes,100% certain,because I thought the guy was attractive,TRUE,FALSE,0.5777363290486176,-2.070739818,100% certain because I thought the guy was attractive
148,Day,57,Male,32,White,WC1.NP.LINE,White,TA,Yes,0,Foil,40,16.167,No,a bit,seems familiar.,F,No,Yes,a bit,seems familiar.,FALSE,FALSE,2.782972127619469,1.2492831896437293,a bit seems familiar.
148,Day,57,Male,32,White,WD1.P.LINE,White,TP,Yes,0,Foil,60,7.564,No,fairly.,he just does.,?,No,Yes,fairly.,he just does.,FALSE,FALSE,2.023400150796211,0.10573362430126515,fairly. he just does.
149,5Minute,63,Male,31,White,WC1.P.LINE,White,TP,Yes,1,Target,80,6.46,No,fairly certain,looks familiar,F,No,Yes,fairly certain,looks familiar,FALSE,FALSE,1.8656293177945105,-0.131793263,fairly certain looks familiar
149,5Minute,63,Male,31,White,WC2.P.LINE,White,TP,Yes,1,Target,20,19.264,No,slightly certain,he looks familiar,F,No,Yes,slightly certain,he looks familiar,FALSE,FALSE,2.9582380691264105,1.5131492844249441,slightly certain he looks familiar
150,5Minute,67,Female,29,White,WC1.NP.LINE,White,TA,Yes,0,Foil,60,9.005,No,SLIGHTY ACCURATE,I FEEL LIKE I REMEMBER HIS GO-TEE,O1,No,Yes,SLIGHTLY ACCURATE,I FEEL LIKE I REMEMBER HIS GO-TEE,FALSE,FALSE,2.1977799786279193,0.36826565866546074,SLIGHTLY ACCURATE I FEEL LIKE I REMEMBER HIS GO-TEE
150,5Minute,67,Female,29,White,WC2.NP.LINE,White,TA,Yes,0,Foil,100,2.628,No,VERY ACCURATE,I SAW THIS FACE IN THE LINE UP IN A WHITE SHIRT,U1,No,Yes,VERY ACCURATE,I SAW THIS FACE IN THE LINE UP IN A WHITE SHIRT,FALSE,FALSE,0.9662231006223642,-1.485865846,VERY ACCURATE I SAW THIS FACE IN THE LINE UP IN A WHITE SHIRT
150,5Minute,67,Female,29,White,WD1.P.LINE,White,TP,Yes,0,Foil,0,12.364,No,NOT ACCURATE,I HONESTLY COULDN'T DECIDE ON THIS SELECTION OR NOT PRESENT,?,No,Yes,NOT ACCURATE,I HONESTLY COULDN'T DECIDE ON THIS SELECTION OR NOT PRESENT,FALSE,FALSE,2.514789024,0.8455286007102994,NOT ACCURATE I HONESTLY COULDN'T DECIDE ON THIS SELECTION OR NOT PRESENT
150,5Minute,67,Female,29,White,WD2.P.LINE,White,TP,Yes,1,Target,100,2.023,No,VERY ACCURATE,I REMEMBER HIS HAIR STICKING UP,O1,No,Yes,VERY ACCURATE,I REMEMBER HIS HAIR STICKING UP,FALSE,FALSE,0.7045815581856085,-1.879771995,VERY ACCURATE I REMEMBER HIS HAIR STICKING UP
150,5Minute,67,Female,29,White,WD3.P.LINE,White,TP,Yes,1,Target,100,3.102,No,VERY ACCURATE,I REMEMBER HIS FLAT HAIR CUT,O1,No,Yes,VERY ACCURATE,I REMEMBER HIS FLAT HAIR CUT,FALSE,FALSE,1.132047064754347,-1.236214822,VERY ACCURATE I REMEMBER HIS FLAT HAIR CUT
151,Day,50,Female,27,White,WC1.NP.LINE,White,TA,Yes,0,Foil,40,5.312,No,slightly,"he reminded me of a friend from college, which I remembered",U1,No,Yes,slightly,"he reminded me of a friend from college, which I remembered",FALSE,FALSE,1.6699684121741327,-0.426364351,"slightly he reminded me of a friend from college, which I remembered"
151,Day,50,Female,27,White,WC2.NP.LINE,White,TA,Yes,0,Foil,20,11.875,No,not very,"i have a vague feeling that I saw this person, but it is not strong",R,No,Yes,not very,"I have a vague feeling that I saw this person, but it is not strong",FALSE,FALSE,2.474435349920705,0.7847754026329345,"not very I have a vague feeling that I saw this person, but it is not strong"
151,Day,50,Female,27,White,WD2.P.LINE,White,TP,Yes,1,Target,20,13.988,No,not very,"i have a vague feeling that I saw this person, but it is not strong",R,No,Yes,not very,"I have a vague feeling that I saw this person, but it is not strong",FALSE,FALSE,2.6381998192011293,1.031325819681488,"not very I have a vague feeling that I saw this person, but it is not strong"
152,5Minute,58,Female,32,White,WC2.NP.LINE,White,TA,Yes,0,Foil,0,19.114,No,not very,I may have seen him,R,No,Yes,not very,I may have seen him,FALSE,FALSE,2.950421050843988,1.5013806197928912,not very I may have seen him
152,5Minute,58,Female,32,White,WC3.NP.LINE,White,TA,Yes,0,Foil,0,16.494,No,not very certain,I may have seen him,R,No,Yes,not very certain,I may have seen him,FALSE,FALSE,2.8029966784111635,1.2794305187352926,not very certain I may have seen him
152,5Minute,58,Female,32,White,WD1.P.LINE,White,TP,Yes,1,Target,80,8.624,No,somewhat,I am pretty sure I saw him,R,No,Yes,somewhat,I am pretty sure I saw him,FALSE,FALSE,2.1545490141666415,0.30318064746508966,somewhat I am pretty sure I saw him
152,5Minute,58,Female,32,White,WD3.P.LINE,White,TP,Yes,0,Foil,20,2.706,No,not very,I am not sure but think I saw him,R,No,Yes,not very,I am not sure but think I saw him,FALSE,FALSE,0.9954715297485963,-1.441831799,not very I am not sure but think I saw him
153,5Minute,33,Male,30,White,WC2.P.LINE,White,TP,Yes,1,Target,40,10.06,No,looks familar,feels like i saw his picture before,F,No,Yes,looks familiar,feels like I saw his picture before,FALSE,FALSE,2.3085671646715933,0.5350578025457731,looks familiar feels like I saw his picture before
153,5Minute,33,Male,30,White,WC3.P.LINE,White,TP,Yes,0,Foil,60,22.206,No,his face looks familiar,I feel like i have seen his face before,F,No,Yes,his face looks familiar,I feel like I have seen his face before,FALSE,FALSE,3.1003625226320737,1.7271202601719258,his face looks familiar I feel like I have seen his face before
153,5Minute,33,Male,30,White,WD2.NP.LINE,White,TA,Yes,0,Foil,20,8.941,No,he looks familar,he looks like i have seen him before,F,No,Yes,he looks familiar,he looks like I have seen him before,FALSE,FALSE,2.190647439753181,0.3575274903563726,he looks familiar he looks like I have seen him before
153,5Minute,33,Male,30,White,WD3.NP.LINE,White,TA,Yes,0,Foil,20,7.179,No,the person looks familiar,the person's photo looks familar so It may have been in the other ones,F,No,Yes,the person looks familiar,the person's photo looks familiar so It may have been in the other ones,FALSE,FALSE,1.971160097594346,0.027085264494330602,the person looks familiar the person's photo looks familiar so It may have been in the other ones
155,5Minute,60,Male,27,White,WD1.P.LINE,White,TP,Yes,1,Target,100,6.063,No,Almost certain,I'm almost 100% certain I seen him.,R,No,Yes,Almost certain,I'm almost 100% certain I seen him.,FALSE,TRUE,1.8022047270895936,-0.22728015,Almost certain I'm almost 100% certain I seen him.
155,5Minute,60,Male,27,White,WD2.P.LINE,White,TP,Yes,1,Target,60,22.424,No,Fairly sure,I recognize his hair and the shape of his head but his face seems different.,Omany,No,Yes,Fairly sure,I recognize his hair and the shape of his head but his face seems different.,FALSE,FALSE,3.110131813862487,1.7418281075927409,Fairly sure I recognize his hair and the shape of his head but his face seems different.
155,5Minute,60,Male,27,White,WD3.P.LINE,White,TP,Yes,1,Target,80,9.942,No,Pretty sure,I remember that guy's haircut.,O1,No,Yes,Pretty sure,I remember that guy's haircut.,FALSE,FALSE,2.2967682076724807,0.5172942560228223,Pretty sure I remember that guy's haircut.
156,5Minute,36,Female,31,White,WC1.P.LINE,White,TP,Yes,0,Foil,40,7.896,No,50/50,The eyes and nose seem familiar,FO,No,Yes,50/50,The eyes and nose seem familiar,TRUE,FALSE,2.0663563021311804,0.17040489929133668,50/50 The eyes and nose seem familiar
156,5Minute,36,Female,31,White,WC2.P.LINE,White,TP,Yes,0,Foil,80,3.655,No,Quite,The hair color and eye color,Omany,No,Yes,Quite,The hair color and eye color,FALSE,FALSE,1.2960960932017418,-0.989235996,Quite The hair color and eye color
156,5Minute,36,Female,31,White,WC3.P.LINE,White,TP,Yes,0,Foil,60,10.45,No,I'm fairly certian,"The face seems very familiar, as does the hairstyle.",FO,No,Yes,I'm fairly certain,"The face seems very familiar, as does the hairstyle.",FALSE,FALSE,2.346601978,0.5923199133746656,"I'm fairly certain The face seems very familiar, as does the hairstyle."
156,5Minute,36,Female,31,White,WD1.NP.LINE,White,TA,Yes,0,Foil,60,5.853,No,Fairly certian,The eyes and hair match up to what I can recall,Omany,No,Yes,Fairly certain,The eyes and hair match up to what I can recall,FALSE,FALSE,1.7669543503090839,-0.28035024,Fairly certain The eyes and hair match up to what I can recall
159,5Minute,38,Female,34,White,WC2.P.LINE,White,TP,Yes,0,Foil,80,3.125,No,same eyes,he looks the same,O1,No,Yes,same eyes,he looks the same,FALSE,FALSE,1.1394342831883648,-1.225093229,same eyes he looks the same
160,5Minute,56,Female,30,White,WC2.NP.LINE,White,TA,Yes,0,Foil,40,7.522,No,I am a little certain,"I recall the face shape and ears, I think this is him",Omany,No,Yes,I am a little certain,"I recall the face shape and ears, I think this is him",FALSE,FALSE,2.0178320600481445,0.097350761,"I am a little certain I recall the face shape and ears, I think this is him"
160,5Minute,56,Female,30,White,WC3.NP.LINE,White,TA,Yes,0,Foil,20,10.412,No,Not completely,I think I remember his ears,O1,No,Yes,Not completely,I think I remember his ears,FALSE,FALSE,2.342958987132319,0.5868353230788261,Not completely I think I remember his ears
160,5Minute,56,Female,30,White,WD1.P.LINE,White,TP,Yes,1,Target,100,2.778,No,Completely,I remember this face clearly as he reminds me of my husband's cousin.,U1,No,Yes,Completely,I remember this face clearly as he reminds me of my husband's cousin.,FALSE,FALSE,1.021731244332152,-1.402297316,Completely I remember this face clearly as he reminds me of my husband's cousin.
160,5Minute,56,Female,30,White,WD2.P.LINE,White,TP,Yes,1,Target,100,3.594,No,100% certain,I remember this guy and his hair clearly,O1,No,Yes,100% certain,I remember this guy and his hair clearly,TRUE,FALSE,1.2792657883613672,-1.014574329,100% certain I remember this guy and his hair clearly
160,5Minute,56,Female,30,White,WD3.P.LINE,White,TP,Yes,1,Target,40,12.504,No,A little certain,"I think this guy was in it, the others weren't and I recall a similar appearance",R,No,Yes,A little certain,"I think this guy was in it, the others weren't and I recall a similar appearance",FALSE,FALSE,2.5260485931191754,0.8624800884645175,"A little certain I think this guy was in it, the others weren't and I recall a similar appearance"
161,Day,47,Female,23,White,WC1.NP.LINE,White,TA,Yes,0,Foil,60,7.084,No,I am slightly certain.,"I said slightly certain because I believe I saw the person before, if not then he looks like a guy that was pictured.",R,No,Yes,I am slightly certain.,"I said slightly certain because I believe I saw the person before, if not then he looks like a guy that was pictured.",FALSE,FALSE,1.9578387199205871,0.007029686,"I am slightly certain. I said slightly certain because I believe I saw the person before, if not then he looks like a guy that was pictured."
161,Day,47,Female,23,White,WC3.NP.LINE,White,TA,Yes,0,Foil,20,3.702,No,I am not very certain.,I am unsure if I saw this person before.,R,No,Yes,I am not very certain.,I am unsure if I saw this person before.,FALSE,FALSE,1.3088732141513058,-0.969999806,I am not very certain. I am unsure if I saw this person before.
161,Day,47,Female,23,White,WD1.P.LINE,White,TP,Yes,1,Target,100,2.273,No,I am very certain.,I know that I saw this person in the lineup yesterday.,R,No,Yes,I am very certain.,I know that I saw this person in the lineup yesterday.,FALSE,FALSE,0.8211005448704062,-1.70435052,I am very certain. I know that I saw this person in the lineup yesterday.
161,Day,47,Female,23,White,WD2.P.LINE,White,TP,Yes,0,Foil,80,3.888,No,I am very certain.,I said I was very certain because I remember making a comment about the how the person looks attractive.,U1,No,Yes,I am very certain.,I said I was very certain because I remember making a comment about the how the person looks attractive.,FALSE,FALSE,1.3578948865981926,-0.896196777,I am very certain. I said I was very certain because I remember making a comment about the how the person looks attractive.
161,Day,47,Female,23,White,WD3.P.LINE,White,TP,Yes,1,Target,100,3.549,No,I am very certain.,I made the response above because I remember comparing his face to looking like one of an actors.,U1,No,Yes,I am very certain.,I made the response above because I remember comparing his face to looking like one of an actors.,FALSE,FALSE,1.2666658736643595,-1.033543732,I am very certain. I made the response above because I remember comparing his face to looking like one of an actors.
162,5Minute,36,Male,25,White,WC2.P.LINE,White,TP,Yes,0,Foil,0,5.256,No,uncertain,looked slightly familiar,F,No,Yes,uncertain,looked slightly familiar,FALSE,FALSE,1.6593702811823094,-0.442320032,uncertain looked slightly familiar
162,5Minute,36,Male,25,White,WD3.NP.LINE,White,TA,Yes,0,Foil,40,5.9,No,uncertain,looked slightly familiar,F,No,Yes,uncertain,looked slightly familiar,FALSE,FALSE,1.7749523509116738,-0.268309103,uncertain looked slightly familiar
163,5Minute,50,Female,39,White,WC1.P.LINE,White,TP,Yes,1,Target,60,21.182,No,Fairly sure,I think this face was in the line up but don't know for sure.,?,No,Yes,Fairly sure,I think this face was in the line up but don't know for sure.,FALSE,FALSE,3.0531517644214774,1.6560435963684403,Fairly sure I think this face was in the line up but don't know for sure.
163,5Minute,50,Female,39,White,WC2.P.LINE,White,TP,Yes,0,Foil,40,44.508,No,Somewhat sure,"I think this photo was in the lineup, but they are all starting to look the same.",R,No,Yes,Somewhat sure,"I think this photo was in the lineup, but they are all starting to look the same.",FALSE,FALSE,3.795668948295454,2.773916857609056,"Somewhat sure I think this photo was in the lineup, but they are all starting to look the same."
163,5Minute,50,Female,39,White,WC3.P.LINE,White,TP,Yes,1,Target,80,4.922,No,Fairly sure,"I think I saw this guy before, with different cloths.",R,No,Yes,Fairly sure,"I think I saw this guy before, with different cloths.",FALSE,FALSE,1.593714951968864,-0.541165336,"Fairly sure I think I saw this guy before, with different cloths."
163,5Minute,50,Female,39,White,WD1.NP.LINE,White,TA,Yes,0,Foil,60,15.324,No,fairly sure,I think he was i the line up but am not completely sure.,?,No,Yes,fairly sure,I think he was I the line up but am not completely sure.,FALSE,FALSE,2.7294202268384025,1.1686598192061162,fairly sure I think he was I the line up but am not completely sure.
164,5Minute,72,Female,37,White,WC1.P.LINE,White,TP,Yes,1,Target,80,12.068,No,mostly certain,"I remember his hairline and his jaw line, however, he has a somewhat generic look, so I'm not 100% sure",Omany,No,Yes,mostly certain,"I remember his hairline and his jaw line, however, he has a somewhat generic look, so I'm not 100% sure",FALSE,TRUE,2.490557321296815,0.8090473267193387,"mostly certain I remember his hairline and his jaw line, however, he has a somewhat generic look, so I'm not 100% sure"
164,5Minute,72,Female,37,White,WC2.P.LINE,White,TP,Yes,1,Target,100,3.947,No,Quite certain,I remember the particuolar shape of his nostrils/nose,O1,No,Yes,Quite certain,I remember the particular shape of his nostrils/nose,FALSE,FALSE,1.372955797,-0.8735223,Quite certain I remember the particular shape of his nostrils/nose
164,5Minute,72,Female,37,White,WC3.P.LINE,White,TP,Yes,1,Target,100,2.549,No,quite certain,I remember the formation of this subject's ears and the crook in his nose,Omany,No,Yes,quite certain,I remember the formation of this subject's ears and the crook in his nose,FALSE,FALSE,0.9357011253939783,-1.531817241,quite certain I remember the formation of this subject's ears and the crook in his nose
165,5Minute,62,Male,33,White,WC2.P.LINE,White,TP,Yes,0,Foil,40,7.471,No,i think i saw him,his head tilt and nose looked familiar,FO,No,Yes,I think I saw him,his head tilt and nose looked familiar,FALSE,FALSE,2.0110288589936642,0.087108417,I think I saw him his head tilt and nose looked familiar
165,5Minute,62,Male,33,White,WD1.NP.LINE,White,TA,Yes,0,Foil,80,10.506,No,pretty certain,i saw his face earlier and recognized his brow,O1,No,Yes,pretty certain,I saw his face earlier and recognized his brow,FALSE,FALSE,2.3519465225317697,0.6003662227343481,pretty certain I saw his face earlier and recognized his brow
165,5Minute,62,Male,33,White,WD3.NP.LINE,White,TA,Yes,0,Foil,60,26.848,No,fairly certain,his hair and face shape looked familiar,FO,No,Yes,fairly certain,his hair and face shape looked familiar,FALSE,FALSE,3.2901913302847956,2.012911017472678,fairly certain his hair and face shape looked familiar
166,5Minute,40,Female,25,White,WD2.NP.LINE,White,TA,Yes,0,Foil,80,3.454,No,pretty sure,i remember,R,No,Yes,pretty sure,I remember,FALSE,FALSE,1.239532979724487,-1.074392802,pretty sure I remember
167,Day,65,Female,25,White,WC1.NP.LINE,White,TA,Yes,0,Foil,60,6.327,No,somewhat uncertain,a couple of these face looked somewhat familiar because i thought they were attractive,?,No,Yes,somewhat uncertain,a couple of these face looked somewhat familiar because I thought they were attractive,FALSE,FALSE,1.8448261901647471,-0.163112754,somewhat uncertain a couple of these face looked somewhat familiar because I thought they were attractive
167,Day,65,Female,25,White,WC2.NP.LINE,White,TA,Yes,0,Foil,20,38.56,No,not really sure at all,"i remember a shirt this color, but I don't remember the face",?,No,Yes,not really sure at all,"I remember a shirt this color, but I don't remember the face",FALSE,FALSE,3.652215469742345,2.557945010237383,"not really sure at all I remember a shirt this color, but I don't remember the face"
167,Day,65,Female,25,White,WD1.P.LINE,White,TP,Yes,1,Target,80,2.624,No,certain,i remember this face and expression,?,No,Yes,certain,I remember this face and expression,FALSE,FALSE,0.9646998710818426,-1.488159096,certain I remember this face and expression
167,Day,65,Female,25,White,WD2.P.LINE,White,TP,Yes,0,Foil,20,4.587,No,somewhat certain,this face looks the most familiar out of all the face pictured above,F,No,Yes,somewhat certain,this face looks the most familiar out of all the face pictured above,FALSE,FALSE,1.523226215615035,-0.647287424,somewhat certain this face looks the most familiar out of all the face pictured above
168,5Minute,64,Male,35,White,WD2.NP.LINE,White,TA,Yes,0,Foil,60,26.597,No,semi,I think it's the same guy,R,No,Yes,semi,I think it's the same guy,FALSE,FALSE,3.280798427472403,1.998769829729894,semi I think it's the same guy
170,Day,62,Female,26,White,WC2.P.LINE,White,TP,Yes,1,Target,100,5.01,No,I'm 98% certain,I remember thinking this particular individual was cute so that's why I remembered seeing him.,R,No,Yes,I'm 98% certain,I remember thinking this particular individual was cute so that's why I remembered seeing him.,TRUE,FALSE,1.6114359150967734,-0.514486101,I'm 98% certain I remember thinking this particular individual was cute so that's why I remembered seeing him.
170,Day,62,Female,26,White,WD1.NP.LINE,White,TA,Yes,0,Foil,80,6.241,No,I'm fairly certain,I remember his eyes,O1,No,Yes,I'm fairly certain,I remember his eyes,FALSE,FALSE,1.831140425951906,-0.183716923,I'm fairly certain I remember his eyes
171,Day,69,Female,42,White,WC2.P.LINE,White,TP,Yes,1,Target,80,11.481,No,somewhat,familiar,F,No,Yes,somewhat,familiar,FALSE,FALSE,2.4406934951116748,0.7339764203401828,somewhat familiar
171,Day,69,Female,42,White,WC3.P.LINE,White,TP,Yes,1,Target,100,14.691,No,certain,I just remember,R,No,Yes,certain,I just remember,FALSE,FALSE,2.6872350613882903,1.1051492776296188,certain I just remember
172,Day,53,Male,36,White,WC1.P.LINE,White,TP,Yes,1,Target,100,4.137,No,very,jawline is familiar,FO,No,Yes,very,jawline is familiar,FALSE,FALSE,1.4199708874792742,-0.802740217,very jawline is familiar
172,Day,53,Male,36,White,WC2.P.LINE,White,TP,Yes,1,Target,80,4.677,No,remember the neck and hair,I remember a couple features,Omany,No,Yes,remember the neck and hair,I remember a couple features,FALSE,FALSE,1.5426568787437491,-0.618034204,remember the neck and hair I remember a couple features
172,Day,53,Male,36,White,WC3.P.LINE,White,TP,Yes,1,Target,60,6.026,No,somewhat,eyes and nose look familiar,FO,No,Yes,somewhat,eyes and nose look familiar,FALSE,FALSE,1.7960834407081094,-0.236495859,somewhat eyes and nose look familiar
173,Day,65,Female,34,White,WC1.NP.LINE,White,TA,Yes,0,Foil,20,7.912,No,maybe,i think it could be him,R,No,Yes,maybe,I think it could be him,FALSE,FALSE,2.068380594320411,0.17345250837086365,maybe I think it could be him
173,Day,65,Female,34,White,WC2.NP.LINE,White,TA,Yes,0,Foil,20,7.724,No,maybe,kinda loks like my brother,U1,No,Yes,maybe,kinda looks like my brother,FALSE,FALSE,2.044332364566268,0.13724745668159527,maybe kinda looks like my brother
173,Day,65,Female,34,White,WC3.NP.LINE,White,TA,Yes,0,Foil,20,5.395,No,not sure,i cant remember that face,R,No,Yes,not sure,I cant remember that face,FALSE,FALSE,1.6854725987100978,-0.403022513,not sure I cant remember that face
173,Day,65,Female,34,White,WD1.P.LINE,White,TP,Yes,1,Target,40,4.156,No,kinda sure,he feels familura,F,No,Yes,kinda sure,he feels familiar,FALSE,FALSE,1.4245530732369809,-0.795841652,kinda sure he feels familiar
173,Day,65,Female,34,White,WD2.P.LINE,White,TP,Yes,1,Target,20,6.342,No,maybe,they all look alike,?,No,Yes,maybe,they all look alike,FALSE,FALSE,1.8471941761161554,-0.159547708,maybe they all look alike
173,Day,65,Female,34,White,WD3.P.LINE,White,TP,Yes,0,Foil,40,4.507,No,maybe,the hair maybe,O1,No,Yes,maybe,the hair maybe,FALSE,FALSE,1.5056317437085112,-0.673776225,maybe the hair maybe
174,Day,66,Female,27,White,WC1.P.LINE,White,TP,Yes,0,Foil,40,9.615,No,I'm not very certain,"His facial structure looks familiar, but I can't be too sure.",FO,No,Yes,I'm not very certain,"His facial structure looks familiar, but I can't be too sure.",FALSE,FALSE,2.263324379040743,0.4669439576150779,"I'm not very certain His facial structure looks familiar, but I can't be too sure."
174,Day,66,Female,27,White,WC2.P.LINE,White,TP,Yes,1,Target,100,1.986,No,I'm very certain,I remember seeing him for sure,R,No,Yes,I'm very certain,I remember seeing him for sure,FALSE,FALSE,0.6861225656229808,-1.907562348,I'm very certain I remember seeing him for sure
174,Day,66,Female,27,White,WC3.P.LINE,White,TP,Yes,1,Target,100,2.363,No,I am very certain,I remember this guy because he looks like someone I know in real life and I made the association.,U1,No,Yes,I am very certain,I remember this guy because he looks like someone I know in real life and I made the association.,FALSE,FALSE,0.8599319982047707,-1.645889054,I am very certain I remember this guy because he looks like someone I know in real life and I made the association.
174,Day,66,Female,27,White,WD2.NP.LINE,White,TA,Yes,0,Foil,20,14.623,No,I'm not very certain,"My mind is telling me he kind of looks familiar, but I'm not very sure.",F,No,Yes,I'm not very certain,"My mind is telling me he kind of looks familiar, but I'm not very sure.",FALSE,FALSE,2.682595631629742,1.0981645308963157,"I'm not very certain My mind is telling me he kind of looks familiar, but I'm not very sure."
175,Day,51,Male,43,White,WD1.NP.LINE,White,TA,Yes,0,Foil,20,13.059,No,not certain at all,"he looks familiar, but maybe from seeing him earlier in a lineup?",F,No,Yes,not certain at all,"he looks familiar, but maybe from seeing him earlier in a lineup?",FALSE,FALSE,2.569477551,0.9278631827541095,"not certain at all he looks familiar, but maybe from seeing him earlier in a lineup?"
175,Day,51,Male,43,White,WD3.NP.LINE,White,TA,Yes,0,Foil,20,8.11,No,not certain at all,he just looks familiar to someone from the lineup yesterday,F,No,Yes,not certain at all,he just looks familiar to someone from the lineup yesterday,FALSE,FALSE,2.0930978681273213,0.21066481817270352,not certain at all he just looks familiar to someone from the lineup yesterday
176,Day,57,Female,28,White,WD1.P.LINE,White,TP,Yes,1,Target,60,1.815,No,Better than half,"I THINK I remember this guy, but only because he's attractive.",?,No,Yes,Better than half,"I THINK I remember this guy, but only because he's attractive.",TRUE,FALSE,0.596085468,-2.043114853,"Better than half I THINK I remember this guy, but only because he's attractive."
177,5Minute,61,Female,37,White,WD2.NP.LINE,White,TA,Yes,0,Foil,80,6.66,No,very certain.,This one looks familiar from the photos before.,F,No,Yes,very certain.,This one looks familiar from the photos before.,FALSE,FALSE,1.8961194845522977,-0.085889757,very certain. This one looks familiar from the photos before.
177,5Minute,61,Female,37,White,WD3.NP.LINE,White,TA,Yes,0,Foil,80,7.877,No,very certain.,I recognize this person from the photos before.,R,No,Yes,very certain.,I recognize this person from the photos before.,FALSE,FALSE,2.063947120721187,0.16677783241908145,very certain. I recognize this person from the photos before.
178,Day,38,Female,29,White,WC1.P.LINE,White,TP,Yes,0,Foil,60,13.734,No,Certain,His hair looks familiar to me,FO,No,Yes,Certain,His hair looks familiar to me,FALSE,FALSE,2.6198745101984846,1.003736730320419,Certain His hair looks familiar to me
178,Day,38,Female,29,White,WD3.NP.LINE,White,TA,Yes,0,Foil,40,21.58,No,I am kind of certain,"This person looks familiar, his blonde hair does at least",FO,No,Yes,I am kind of certain,"This person looks familiar, his blonde hair does at least",FALSE,FALSE,3.0717669598299886,1.6840691150390974,"I am kind of certain This person looks familiar, his blonde hair does at least"
179,5Minute,51,Male,33,White,WC1.NP.LINE,White,TA,Yes,0,Foil,60,16.884,No,uncertain,He looks kinda like the crazy looking guy before.,?,No,Yes,uncertain,He looks kinda like the crazy looking guy before.,FALSE,FALSE,2.8263664279202523,1.314614105951148,uncertain He looks kinda like the crazy looking guy before.
179,5Minute,51,Male,33,White,WD2.P.LINE,White,TP,Yes,1,Target,40,9.769,No,Low to mid certainty,"The guy I picked reminds me of the ""punchable"" guy from before.  Looks less punchable now.  (I do not advocate violence)",?,No,Yes,Low to mid certainty,"The guy I picked reminds me of the ""punchable"" guy from before.  Looks less punchable now.  (I do not advocate violence)",FALSE,FALSE,2.2792141066708056,0.4908662344752156,"Low to mid certainty The guy I picked reminds me of the ""punchable"" guy from before.  Looks less punchable now.  (I do not advocate violence)"
179,5Minute,51,Male,33,White,WD3.P.LINE,White,TP,Yes,1,Target,80,4.509,No,Pretty sure,He looks like Jim Carrey in Dumb and Dumber.  Mostly the hair,U1,No,Yes,Pretty sure,He looks like Jim Carrey in Dumb and Dumber.  Mostly the hair,FALSE,FALSE,1.5060753994389473,-0.673108293,Pretty sure He looks like Jim Carrey in Dumb and Dumber.  Mostly the hair
180,Day,49,Female,28,White,WC1.P.LINE,White,TP,Yes,1,Target,60,10.524,No,I am 60% certain,He reminds me of a person that I thought looked familiar.,F,No,Yes,I am 60% certain,He reminds me of a person that I thought looked familiar.,TRUE,FALSE,2.353658363178046,0.6029434302758534,I am 60% certain He reminds me of a person that I thought looked familiar.
181,Day,33,Female,30,White,WC1.NP.LINE,White,TA,Yes,0,Foil,60,4.967,No,I am sort of certain,His eyes seem familiar.,FO,No,Yes,I am sort of certain,His eyes seem familiar.,FALSE,FALSE,1.6028160361252133,-0.527463487,I am sort of certain His eyes seem familiar.
181,Day,33,Female,30,White,WD1.P.LINE,White,TP,Yes,0,Foil,80,2.367,No,I am certain,I remember this face and expression,?,No,Yes,I am certain,I remember this face and expression,FALSE,FALSE,0.8616233305318469,-1.643342722,I am certain I remember this face and expression
181,Day,33,Female,30,White,WD2.P.LINE,White,TP,Yes,0,Foil,60,4.41,No,I am fairly certain,The shape of his face is familiar.,FO,No,Yes,I am fairly certain,The shape of his face is familiar.,FALSE,FALSE,1.4838746894587547,-0.706531869,I am fairly certain The shape of his face is familiar.
182,Day,41,Female,44,White,WC1.NP.LINE,White,TA,Yes,0,Foil,80,19.854,No,little,"his face ,hairdo",?,No,Yes,little,"his face ,hairdo",FALSE,FALSE,2.988405498,1.5585669030576796,"little his face ,hairdo"
182,Day,41,Female,44,White,WC3.NP.LINE,White,TA,Yes,0,Foil,80,20.229,No,80,looks right to me,?,No,Yes,80,looks right to me,TRUE,FALSE,3.0071172184205546,1.586737741655027,80 looks right to me
182,Day,41,Female,44,White,WD2.P.LINE,White,TP,Yes,1,Target,100,3.226,No,remember,te way his hair is,O1,No,Yes,remember,the way his hair is,FALSE,FALSE,1.171242979703017,-1.177204652,remember the way his hair is
183,Day,30,Female,27,White,WC1.P.LINE,White,TP,Yes,0,Foil,60,3.065,No,about 50 percent,I remember seeing this guy,R,No,Yes,about 50 percent,I remember seeing this guy,TRUE,FALSE,1.1200475693881746,-1.254280283,about 50 percent I remember seeing this guy
